When memory is filled with 10MB size si & so swap does not occur: 

procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 2050204  88300 2070924    0    0    19    16  108  180  1  2 97  0  0
 0  0      0 2050204  88300 2063316    0    0     0     0  552  859  1  2 97  0  0
 0  0      0 2050204  88300 2063316    0    0     0     0  445  635  1  1 98  0  0
 0  0      0 2050204  88300 2063316    0    0     0   120  509  823  1  0 99  1  0
 2  0      0 2050204  88300 2063316    0    0     0   268  376  509  1  1 98  0  0
 0  0      0 2050204  88300 2063316    0    0     0     0  451  653  1  0 99  0  0
 2  0      0 2050204  88300 2063316    0    0     0     4  369  501  1  1 98  0  0
 0  0      0 2050204  88300 2063316    0    0     0     0  349  495  0  1 99  0  0
 0  0      0 2050204  88304 2063316    0    0     0    36  394  552  0  1 98  1  0
 2  0      0 2043400  88304 2070968    0    0     0     0 1633 3556  5  5 89  0  0
 0  0      0 2065368  88304 2063356    0    0     0     0  507 1029  1  1 98  0  0
 0  0      0 2065368  88304 2063356    0    0     0     0  303  500  0  1 99  0  0
 0  0      0 2065368  88304 2063356    0    0     0     4  298  480  0  1 99  0  0
 0  0      0 2065368  88304 2063356    0    0     0   372  257  400  0  0 100  0  0
 0  0      0 2064864  88328 2063356    0    0     0   164  381  547  0  1 98  1  0
 0  0      0 2064864  88328 2063356    0    0     0     0  381  746  0  0 100  0  0
 
 But when I change the size to larger value (500 MB e. g.) Swap triggered:

procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 1596676  95972 2079232    0    0     0     0  547  841  3  5 92  0  0
 0  0      0 1281676  95976 2086776    0    0     0   120  952 1559  4  4 92  0  0
 4  0      0 973228  95992 2079232    0    0     0   100 1042 1428  6  8 86  0  0
 2  0      0 756508  95992 2079232    0    0     0   156  962 1100  3 15 82  0  0
 0  0      0 673096  95992 2079232    0    0     0     0  403  483  1  8 92  0  0
 2  0      0 472252  95992 2079232    0    0     0     0  582  469  1 18 81  0  0
 0  0      0 365404  95992 2079232    0    0     0    68  545  577  1 10 89  0  0
 1  0      0 198328  95992 2079232    0    0     0     0  557  448  1 16 83  0  0
 1  0      0 109356  96000 2058520    0    0     0    84  815  604  0 29 71  0  0
 0  0      0 124800  96000 2024440    0    0     0     0  494  547  1 13 86  0  0
 1  0      0 122560  96000 1999204    0    0     0     0  550  494  1 14 85  0  0
 1  0      0 116100  96000 1947308    0    0     0     0  708  519  1 26 73  0  0
 1  0      0 118120  96000 1824764    0    0     0     0  738  540  1 26 73  0  0
 0  0      0 120900  95464 1721596    0    0     0    68  672  556  1 21 79  0  0
 2  0      0 114604  95148 1709628    0    0     0     0  397  480  1  6 93  0  0
 2  0      0 116580  92208 1576484    0    0     0     0  746  535  0 27 73  0  0
 2  0    268 114740  83960 1496080   32  224   408   528 1338 1800  1 29 70  0  0
 1  0    524 122264  81976 1430084    0  112   108   112 1022 1605  2 21 77  0  0
 1  0    524 110924  81704 1411200    0    4   208     4  497  561  1  9 90  0  0
 2  0   1548 122808  79056 1296804   12 1088   416  1088  906  797  1 31 68  0  0
 3  0   2072 112540  77528 1209216    0  612    24   612  767  609  1 28 71  0  0
 0  0   3096 123220  73464 1135164    0  880   436  1228  714  708  1 18 81  0  0
 1  0   3864 115644  71284 1084740    0  716    84   716  862  534  1 14 85  0  0
 1  0   6704 121676  60928 959092    0 2880  1072  2880 1453  902  1 33 65  0  0
 3  0   9020 114748  57392 859312    0 2424  1209  2424 1099  947  1 31 68  1  0
 0  0   9532 120148  57040 845268    0  380   308   380  808 1510  2  5 92  0  0
 0  0   9532 3190236  57040 845628    0    0   360     0  610  895  1  4 94  0  0
 2  0   9532 3189984  57048 846260    0    0   632    56  344  500  0  1 99  0  0
 0  0   9532 3189984  57048 846260    0    0     0     0  266  441  0  1 99  0  0
 0  0   9532 3189228  57064 846272    0    0    20   124  391  574  0  1 99  0  0
 1  0   9532 3189228  57064 846272    0    0     0   156  278  474  0  0 100  0  0
 1  0   9532 3189228  57064 846284    0    0     0     0  294  488  0  1 99  0  0
 0  0   9532 3188724  57072 846748    0    0    38     0  307  496  0  1 99  0  0

